math pop,9.526279441628825,(31, 119, 180)
medieval rock,9.526279441628825,(247, 182, 210)
meditation,9.526279441628825,(127, 127, 127)
new orleans jazz,9.526279441628825,(227, 119, 194)
nintendocore,9.526279441628825,(255, 152, 150)
nu disco,9.526279441628825,(255, 187, 120)
opm,9.526279441628825,(31, 119, 180)
piano blues,9.526279441628825,(140, 86, 75)
post-metal,9.526279441628825,(255, 152, 150)
psychedelic trance,9.526279441628825,(255, 187, 120)
punjabi,9.526279441628825,(31, 119, 180)
quebecois,9.526279441628825,(255, 187, 120)
rock steady,9.526279441628825,(196, 156, 148)
romanian pop,9.526279441628825,(31, 119, 180)
rumba,9.526279441628825,(152, 223, 138)
scottish rock,9.526279441628825,(255, 127, 14)
sludge metal,9.526279441628825,(255, 152, 150)
soca,9.526279441628825,(196, 156, 148)
spanish hip hop,9.526279441628825,(174, 199, 232)
spanish indie pop,9.526279441628825,(31, 119, 180)
spanish punk,9.526279441628825,(148, 103, 189)
straight edge,9.526279441628825,(148, 103, 189)
suomi rock,9.526279441628825,(255, 127, 14)
tango,9.526279441628825,(227, 119, 194)
twee pop,9.526279441628825,(31, 119, 180)
underground rap,9.526279441628825,(174, 199, 232)
video game music,9.526279441628825,(255, 152, 150)
african rock,7.778174593052023,(255, 127, 14)
afrobeat,7.778174593052023,(44, 160, 44)
aggrotech,7.778174593052023,(255, 127, 14)
alternative pop,7.778174593052023,(31, 119, 180)
andean,7.778174593052023,(152, 223, 138)
arab folk,7.778174593052023,(197, 176, 213)
avantgarde metal,7.778174593052023,(255, 152, 150)
balkan brass,7.778174593052023,(255, 127, 14)
belgian rock,7.778174593052023,(255, 127, 14)
black metal,7.778174593052023,(255, 152, 150)
bounce,7.778174593052023,(174, 199, 232)
brass band,7.778174593052023,(140, 86, 75)
brutal death metal,7.778174593052023,(255, 152, 150)
c86,7.778174593052023,(31, 119, 180)
cello,7.778174593052023,(255, 152, 150)
chiptune,7.778174593052023,(31, 119, 180)
christian punk,7.778174593052023,(148, 103, 189)
classic garage rock,7.778174593052023,(255, 127, 14)
classical piano,7.778174593052023,(247, 182, 210)
contemporary jazz,7.778174593052023,(227, 119, 194)
coverchill,7.778174593052023,(227, 119, 194)
deathgrind,7.778174593052023,(255, 152, 150)
deeper house,7.778174593052023,(255, 187, 120)
detroit techno,7.778174593052023,(255, 187, 120)
drill and bass,7.778174593052023,(255, 187, 120)
dutch hip hop,7.778174593052023,(174, 199, 232)
dutch pop,7.778174593052023,(31, 119, 180)
electro swing,7.778174593052023,(255, 187, 120)
finnish hip hop,7.778174593052023,(174, 199, 232)
folk metal,7.778174593052023,(255, 152, 150)
